"Summary","Location","Description","Start Date/Time","End Date/Time"
"🌞Morning planning","","Plan TODOs
Finish Missions for WR, Pack everything and get my ass to Rust Haven
Theme for the day
Finish up and get to Rust Haven OK
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-19 10:00:00+00:00","2025-06-19 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: C 1line
Reflect on what happened
Auction of slaves in Rust Haven was fun
What am I grateful for?
I am here with Honza
What did I do well?
My costume is awesome","2025-06-19 23:00:00+00:00","2025-06-19 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Do some Larp, trip
Theme for the day
Festival experience
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-20 10:00:00+00:00","2025-06-20 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: 2C 24mg, K
Reflect on what happened
Trip was cozy, Fire show was intense
What am I grateful for?
I had a nice nap
What did I do well?
I helped my friends to have a good time","2025-06-20 23:00:00+00:00","2025-06-20 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Zahrát si Rust Brawl
Theme for the day
Chill
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-21 10:00:00+00:00","2025-06-21 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: C, K, Alk
Reflect on what happened
I thought about the fact I am not really attracted to anyone here and I am fine with it
What am I grateful for?
We met a group of people from Prague
What did I do well?
I won a couple Rust Brawl games","2025-06-21 23:00:00+00:00","2025-06-21 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
cleanup
Theme for the day
recovery
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-22 10:00:00+00:00","2025-06-22 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Consumption: -
Reflect on what happened
I find it hard to put away my travel stuff
What am I grateful for?
We came back OK
What did I do well?
I took care of Sofi well","2025-06-22 23:00:00+00:00","2025-06-22 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Code review for Missions, Start working on a next ticket
Theme for the day
Back to work
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-23 10:00:00+00:00","2025-06-23 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 8
Consumption: 5 shots
Reflect on what happened
I am playint SW Battlefront 2 and I like it
What am I grateful for?
The game is a lot of fun
What did I do well?
I fixed some infrastructure problems at work","2025-06-23 23:00:00+00:00","2025-06-23 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Do some work on Rewards
Theme for the day
Socialize
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-24 10:00:00+00:00","2025-06-24 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: C 2lines, 3m 1line, CBD 4drops
Reflect on what happened
I realized My events will piss off some people
What am I grateful for?
I am grateful I live an interesting 
What did I do well?
I bought drinks for the Unoffice","2025-06-24 23:00:00+00:00","2025-06-24 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Move forward with WR Rewards, Dinner with Petra
Theme for the day
Not crash
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-25 10:00:00+00:00","2025-06-25 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: Alcohol 3drinks
Reflect on what happened
Meeting with Petra was nice
What am I grateful for?
I am grateful for sushi
What did I do well?
I made a cool mouse effect on WR Rewards","2025-06-25 23:00:00+00:00","2025-06-25 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Switch task to WR battle, continue putting away stuff at home 
Theme for the day
work
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-26 10:00:00+00:00","2025-06-26 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 4
Consumption: C 2bumps, Alkohol 1drink
Reflect on what happened
I had a stress resilience workshop. Not sure if it has any effect
What am I grateful for?
I had a nice bike ride home
What did I do well?
I made a cool prototype at home for work","2025-06-26 23:00:00+00:00","2025-06-26 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Finish base capture progress, build some furniture for Tess
Theme for the day
Finish what you can
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-27 10:00:00+00:00","2025-06-27 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: C 4bumps
Reflect on what happened
Meeting Lili felt super nice
What am I grateful for?
Lili is back in Prague
What did I do well?
I put together a lot of furniture","2025-06-27 23:00:00+00:00","2025-06-27 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Get gifts, survive family
Theme for the day
Recover
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-28 10:00:00+00:00","2025-06-28 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Consumption: alkohol 3drinks
Reflect on what happened
Family celebration was OK
What am I grateful for?
I got nice chocolate from Mína 
What did I do well?
I have put Sofi to sleep even though it was hard","2025-06-28 23:00:00+00:00","2025-06-28 23:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: -
Reflect on what happened
We did a lot of work preparing for new furniture coming tomorrow
What am I grateful for?
I will soon have new furniture
What did I do well?
I beat lvl4 of Tower dominion","2025-06-29 23:00:00+00:00","2025-06-29 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
prepare living room for furniture installation
Theme for the day
Transforming our flat
Name & Reinforce values: Creativity, Sharing, Fun","2025-06-30 10:00:00+00:00","2025-06-30 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 8
Consumption: C 2bumps, K 1 line
Reflect on what happened
We played 2 games of Pandemic, it was fun
What am I grateful for?
We met at Oscars place
What did I do well?
I took care of Sofi","2025-06-30 23:00:00+00:00","2025-06-30 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Do some work on WR
Theme for the day
Survive work and take care of sofi in the evening
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-01 10:00:00+00:00","2025-07-01 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: C 3bumps, Ritalin 1/4 pill
Reflect on what happened
I fought tiredness and I managed to bebquite productive
What am I grateful for?
I had a nice nap
What did I do well?
I did a lot of work on WR","2025-07-01 23:00:00+00:00","2025-07-01 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Finish furniture at Tess, pick up cables from Honza
Theme for the day
Balance
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-02 10:00:00+00:00","2025-07-02 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: Concerta 18mg
Reflect on what happened
Had a productive day
What am I grateful for?
I got to practice DJing
What did I do well?
I did some python today","2025-07-02 23:00:00+00:00","2025-07-02 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
WR baee capturing
Theme for the day
Balance
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-03 10:00:00+00:00","2025-07-03 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Consumption: C 2bumps
Reflect on what happened
New furniture looks pretry
What am I grateful for?
I had a nice nap
What did I do well?
I finished WR base capturing","2025-07-03 23:00:00+00:00","2025-07-03 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
-
Theme for the day
Relax
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-05 10:00:00+00:00","2025-07-05 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: -
Reflect on what happened
Found a cool 80s playlist
What am I grateful for?
I got to practice DJing
What did I do well?
I was OK at DJing","2025-07-05 23:00:00+00:00","2025-07-05 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Make a 90s playlist
Theme for the day
Do some work
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-06 10:00:00+00:00","2025-07-06 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Consumption: -
Reflect on what happened
Chill day
What am I grateful for?
I got to watch a movie
What did I do well?
I organized a lot of 90s songs","2025-07-06 23:00:00+00:00","2025-07-06 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Get shorts, schedule a haircut?
Theme for the day
Do some work
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-07 10:00:00+00:00","2025-07-07 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 4
Consumption: ritalin 1/4 pill, C 1bump
Reflect on what happened
I could not focus most of the day
What am I grateful for?
I watched a nice movie
What did I do well?
Did some work despite problems with focus","2025-07-07 23:00:00+00:00","2025-07-07 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Progress on Rewards
Theme for the day
Stabilize
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-08 10:00:00+00:00","2025-07-08 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: Alk 1drink
Reflect on what happened
I played SW Battlefront and enjoyed it
What am I grateful for?
I have a new projector screen
What did I do well?
I coded rewards for WR","2025-07-08 23:00:00+00:00","2025-07-08 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Finish Reward markers, get the drill
Theme for the day
Have fun with friends
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-09 10:00:00+00:00","2025-07-09 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: C 1bump, K 1line
Reflect on what happened
I fealt really ignored
What am I grateful for?
We had a great game of Pandemic Legacy
What did I do well?
I finished coding of rewards","2025-07-09 23:00:00+00:00","2025-07-09 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Commit Rewards
Theme for the day
survive
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-10 10:00:00+00:00","2025-07-10 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 4
Consumption: C 1bump
Reflect on what happened
Tech tree retrospective was OK
What am I grateful for?
I might have my home theater baxk
What did I do well?
Connected speakers and screen","2025-07-10 23:00:00+00:00","2025-07-10 23:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: K 1line
Reflect on what happened
I took care of sofi the whole day
What am I grateful for?
I got to see a movie with my friends
What did I do well?
I took care of sofi and was a good host and didn't get angry when Stella was being an asshole","2025-07-11","2025-07-12"
"🌞Morning planning","","Plan TODOs
Work, take care of Sofi
Theme for the day
Try working from home
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-11 10:00:00+00:00","2025-07-11 10:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Rozlučka 
Theme for the day
have fun
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-12 10:00:00+00:00","2025-07-12 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 4
Consumption: C 2 lines, K 1 line
Reflect on what happened
Rozlučka se Svobodou
What am I grateful for?
I have been to a very nice spa
What did I do well?
I survived sauna ritual","2025-07-12 23:00:00+00:00","2025-07-12 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Put alcohol in the bar
Theme for the day
recover
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-13 10:00:00+00:00","2025-07-13 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Consumption: Alcohol 2drinks
Reflect on what happened
We put alcohol into the new Bar
What am I grateful for?
I got to play games all day
What did I do well?
I prepared some nice house","2025-07-13 23:00:00+00:00","2025-07-13 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Start working on the progress
Theme for the day
Ge to work
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-14 10:00:00+00:00","2025-07-14 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: Ritalin 1/2 pill
Reflect on what happened
I started working on a squiggly progress bar
What am I grateful for?
I am playing a new game
What did I do well?
I fixed my bike and do a lot of work","2025-07-14 23:00:00+00:00","2025-07-14 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Add labels to progress screen, take care of Sofi, put away one bag
Theme for the day
Survive
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-15 10:00:00+00:00","2025-07-15 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 5
Consumption: K 1line
Reflect on what happened
not much
What am I grateful for?
Foundation S3 is out.
What did I do well?
I made progression screen pretty","2025-07-15 23:00:00+00:00","2025-07-15 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Figure out miniature position, plan vacation
Theme for the day
Figure it out
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-16 10:00:00+00:00","2025-07-16 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: Alcohol 8 drinks
Reflect on what happened
We played Feast of Odin
What am I grateful for?
Martin helped me with rotation calculations
What did I do well?
I worked a lot and finished vehicle moving along curve","2025-07-16 23:00:00+00:00","2025-07-16 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Cleanup WR progression
Theme for the day
steady work
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-17 10:00:00+00:00","2025-07-17 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 4
Consumption: 1 drink
Reflect on what happened
I finished the WR progress
What am I grateful for?
I got to play
What did I do well?
I took good care of Sofi","2025-07-17 23:00:00+00:00","2025-07-17 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
finish up, prepare for MD
Theme for the day
Survive the crash
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-18 10:00:00+00:00","2025-07-18 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 3
Consumption: C 1bump, K 1bump
Reflect on what happened
Saw Patricia
What am I grateful for?
I got to play some games
What did I do well?
I cleaned up our repo","2025-07-18 23:00:00+00:00","2025-07-18 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Mighty Decks
Theme for the day
Have fun
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-19 10:00:00+00:00","2025-07-19 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 7
Consumption: C 1line, 3M 1line
Reflect on what happened
We player MD with CVUT
What am I grateful for?
MD went well
What did I do well?
I was good as storyteller","2025-07-19 23:00:00+00:00","2025-07-19 23:30:00+00:00"
"🌞Morning planning","","Plan TODOs
Prepare MP3s
Theme for the day
Ramp up work
Name & Reinforce values: Creativity, Sharing, Fun","2025-07-21 10:00:00+00:00","2025-07-21 10:30:00+00:00"
"🌙 Evening reflection","","Track mood: 6
Consumption: -
Reflect on what happened
Sofi was hard to put to sleep
What am I grateful for?
I got to eat a lot of tasty fruits
What did I do well?
I did a vehicle animation alonf path","2025-07-21 23:00:00+00:00","2025-07-21 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Finish WR Miniature
Mood: 5
Theme for the day: have fun","2025-07-22 10:00:00+00:00","2025-07-22 10:30:00+00:00"
"🌞Morning planning","","Conflicts:
TODOs:
Mood:
Theme for the day:","2025-07-22 10:00:00+00:00","2025-07-22 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: C 1line, K 1line, 3m 1line
Reflect on what happened: We planned Spa party
What am I grateful for? I had a nice game of Pandemic
What did I do well? I finished Vehicle mini in WR","2025-07-22 23:00:00+00:00","2025-07-22 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: 
Track mood: 
Consumption: 
Reflect on what happened: 
What am I grateful for? 
What did I do well?","2025-07-22 23:00:00+00:00","2025-07-22 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Copy music
Mood: 5
Theme for the day: survival","2025-07-23 10:00:00+00:00","2025-07-23 10:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Finish up at work before vacation
Mood: 5
Theme for the day: finish up","2025-07-24 10:00:00+00:00","2025-07-24 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: alcohol 1drink
Reflect on what happened: Last day before vacation was chill
What am I grateful for? I am happy for my time off
What did I do well? I won a couple games of tower dominion","2025-07-24 23:00:00+00:00","2025-07-24 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Wedding DJ
Mood: 5
Theme for the day: celebrate R+M","2025-07-25 10:00:00+00:00","2025-07-25 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: Alcohol 3drinks
Reflect on what happened: I am playing as a DJ on a wedding
What am I grateful for? I had a nice time talking to some people about deep stuff
What did I do well? I am a decent DJ","2025-07-25 23:00:00+00:00","2025-07-25 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: DJ at the orgy
Mood: 4
Theme for the day: Have fun","2025-07-26 10:00:00+00:00","2025-07-26 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 8
Consumption: M 40mg, 3mmc 1line
Reflect on what happened: Romans wedding orgy
What am I grateful for? I vibed with several people
What did I do well? Did a great massage","2025-07-26 23:00:00+00:00","2025-07-26 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: C 2lines, K 1line, alcohol 4drinks
Reflect on what happened: Nora en pure concert was noce
What am I grateful for? Seeing cool people 
What did I do well? I packed almost everything from my DJ orgy","2025-07-27 23:00:00+00:00","2025-07-27 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: get to ST
Mood: 4 tired
Theme for the day: Travel","2025-07-28 10:00:00+00:00","2025-07-28 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 8
Consumption: K 1bump
Reflect on what happened: We are in ST!
What am I grateful for? I am having a nice talk with Adéla, I've flown a heli
What did I do well? I packed my suitcase","2025-07-28 23:00:00+00:00","2025-07-28 23:30:00+00:00"
"🌞Morning planning","","Conflicts: There was a bit of a conflict with Daniel when he didn't want to let me go to sleep
TODOs: Get home safe
Mood: 4 Tired
Theme for the day: Travel","2025-07-30 10:00:00+00:00","2025-07-30 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: -
Reflect on what happened: I came back from ST
What am I grateful for? I am happy I am home
What did I do well? I managed to travel without a problem and were everywhere on time","2025-07-30 23:00:00+00:00","2025-07-30 23:30:00+00:00"
"🌞Morning planning","","Conflicts: Stella was mean before I left for LIR
TODOs: Get to LIR
Mood: 6
Theme for the day: Get setup in LIR","2025-07-31 10:00:00+00:00","2025-07-31 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: C 4lines, K 3lines, 3mmc 2 lines
Reflect on what happened: I had a bizare and erotic encounter with Kája, Roman and Honza
What am I grateful for? I am grateful for Stella letting me come here.
What did I do well? I made a connection with Jen from Colorado","2025-07-31 23:00:00+00:00","2025-07-31 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: have fun
Mood: 6
Theme for the day: LIR saturday!","2025-08-01 10:00:00+00:00","2025-08-01 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 8
Consumption: M 150mg, K 5 lines, 3mmc, 2 lines
Reflect on what happened: 2nd day of LIR was awesome
What am I grateful for? We did M together
What did I do well? I connected with some people","2025-08-01 23:00:00+00:00","2025-08-01 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 10
Consumption: 2CB 50mg, K
Reflect on what happened: best LIR ever
What am I grateful for? My friends are awesome
What did I do well? I dosed everyone great","2025-08-02 23:00:00+00:00","2025-08-02 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: get home
Mood: 6
Theme for the day: recover","2025-08-03 10:00:00+00:00","2025-08-03 10:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: work and get better
Mood: 5
Theme for the day: get back to work","2025-08-04 10:00:00+00:00","2025-08-04 10:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: get some work done
Mood: 4 tired
Theme for the day: work then fun","2025-08-05 10:00:00+00:00","2025-08-05 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: 3mmc 3lines, C 2bumps
Reflect on what happened: We failed Pandemic August
What am I grateful for? I got stuff from Fred
What did I do well? I did some work on WR","2025-08-05 23:00:00+00:00","2025-08-05 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: WR
Mood: 4 tired
Theme for the day: survive lack of sleep","2025-08-06 10:00:00+00:00","2025-08-06 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella was mean to me about Sofi when I ran out of nerves for her not sleeping, but we hugged it out.
Track mood: 6
Consumption: C 3bumps
Reflect on what happened: I bought a golden necklace for Stella
What am I grateful for? I got to relax a bit
What did I do well? I handled all tasks","2025-08-06 23:00:00+00:00","2025-08-06 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: C 1bump
Reflect on what happened: Busy day at work
What am I grateful for? I finished card interaction
What did I do well? I helped Kiki get a job","2025-08-07 23:00:00+00:00","2025-08-07 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Take care of Sofi, Finish tooltip
Mood: 3 tired
Theme for the day: survive","2025-08-08 10:00:00+00:00","2025-08-08 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 7
Consumption: G 1.25ml, 3mmc 2 lines, C 1bump
Reflect on what happened: I worked from hone
What am I grateful for? I got to play SW
What did I do well? I cleaned up a lot of stuff","2025-08-08 23:00:00+00:00","2025-08-08 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: relax
Mood: 4 pain
Theme for the day: get better","2025-08-09 10:00:00+00:00","2025-08-09 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella byla dneska extra protivná 
Track mood: 2 Sad
Consumption: -
Reflect on what happened: We discussed what can cause our conflicts and bad mood
What am I grateful for? I am working on my tracking app with windsurf
What did I do well? I greased the troley","2025-08-09 23:00:00+00:00","2025-08-09 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 5 A bit sick
Consumption: Alcohol 3drinks
Reflect on what happened: We went to see the Jerusalem Synagogue, it was meh
What am I grateful for? I got to play void crew with Oscar and Martin
What did I do well? I helped with carpet for the shue place","2025-08-10 23:00:00+00:00","2025-08-10 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: Do some work, put away 5 things
Mood: 4 Tired, my back hurts
Theme for the day: Get some work done","2025-08-11 10:00:00+00:00","2025-08-11 10:30:00+00:00"
"🌙 Evening reflection","","Conflicts: Stella was mean after I watched Ast week tonight on WFH
Track mood: 5
Consumption: C 1bump, 3mmc 1bump
Reflect on what happened: I went to work after the fight
What am I grateful for? We got to make up and watch Severance
What did I do well? Tower Dominion level 54","2025-08-11 23:00:00+00:00","2025-08-11 23:30:00+00:00"
"🌙 Evening reflection","","Conflicts: -
Track mood: 6
Consumption: C 2lines, 3mmc 2lines
Reflect on what happened: we won pandemic legacy with Honza
What am I grateful for? I got to hang out with my friends. I got gifts for 15th WoT anniversary
What did I do well? We won pandemic","2025-08-12 23:00:00+00:00","2025-08-12 23:30:00+00:00"
"🌞Morning planning","","Conflicts: -
TODOs: do some work
Mood: 4 Runny nose
Theme for the day: Chill","2025-08-13 10:00:00+00:00","2025-08-13 10:30:00+00:00"
